scenario_name,mode,selected_plot,time,soil_BAU,soil_Land_1,soil_Land_2,soil_Land_3,prod_Baseline_total,prod_Land_1,prod_Land_2,prod_Land_3,prod_Scenario_total,pop_Baseline,pop_Scenario,cal_demand_Baseline,cal_demand_Scenario,ssr_Baseline,ssr_Scenario,inc_Baseline,inc_Scenario,deg_Baseline,deg_Land_1,deg_Land_2,deg_Land_3,deg_Scenario_total_areaweighted,emis_Baseline_total,emis_Scenario_total,infl_Inflation,lambda_t,palma_Baseline,palma_Scenario,gini_Baseline,gini_Scenario,food_price_Baseline,food_price_Scenario,food_sec_Baseline,food_sec_Scenario,inc_pdf_Income_PDF
Scenario 2,all_plots,inc,27.595519103820767,0.9957976448464988,0.9957976448464988,0.8586810244635039,0.6978055012871277,24625349.354453243,8208451.426507704,9530149.100607524,7744657.539911845,25483258.06702707,8682836.827424474,8682836.827424474,6077985779197.132,6077985779197.132,98.09258573904782,103.13596194712007,41559.399915846225,41559.399915846225,0.16179235847169335,0.16179235847169335,0.3225,0.3225,0.2689307861572311,587893.5787157353,793297.8390314835,1.5985929348182408,0.00007786169,1.065627175378784,1.065627175378784,0.301798439697289,0.301798439697289,3826.283794477956,3639.177490429551,17.4105809185914,16.559198840838913,
Scenario 2,all_plots,inc,27.605521104220845,0.9958014188448611,0.9958014188448611,0.858593006731403,0.697652565861266,24016504.930882607,8005503.244727864,9529172.2278381,7742960.172240144,25277635.64480611,8684573.915738437,8684573.915738437,6079201741016.906,6079201741016.906,96.30824002458944,102.76419708401683,41561.47835348915,41561.47835348915,0.15779155831166203,0.15779155831166203,0.3225,0.3225,0.26759718610388733,555631.126225243,782543.6860504893,1.5988647730760022,0.00007786169,1.0655887410552107,1.0655887410552107,0.3017914696664925,0.3017914696664925,3896.5124648611063,3651.7217900106007,17.72887889018898,16.615097202844385,
Scenario 2,all_plots,inc,27.615523104620927,0.9958053566202995,0.9958053566202995,0.8585049432125555,0.6974995865896388,23407659.741459023,7802554.807663657,9528194.846900323,7741262.317942247,25072011.972506225,8686311.35157391,8686311.35157391,6080417946101.737,6080417946101.737,94.47352219886827,102.35943168724049,41563.55689507734,41563.55689507734,0.15379075815162932,0.15379075815162932,0.3225,0.3225,0.2662635860505431,523368.6737347391,771789.5330694912,1.5991366575594028,0.00007786169,1.0655503091337588,1.0655503091337588,0.30178449976848454,0.30178449976848454,3971.5091212252305,3665.53867037394,18.068824010285326,16.676777294533597,
Scenario 2,all_plots,inc,27.625525105021005,0.9958094577074715,0.9958094577074715,0.8584168338943964,0.6973465634936263,22798813.475077406,7599606.011613367,9527216.95765474,7739563.977255438,24866386.946523543,8688049.135000437,8688049.135000437,6081634394500.307,6081634394500.307,92.58846201702454,101.92168954745657,41565.63554061599,41565.63554061599,0.149789957991598,0.149789957991598,0.3225,0.3225,0.2649299859971993,491106.22124424664,761035.3800884967,1.5994085882763052,0.00007786169,1.0655118796142347,1.0655118796142347,0.30177753000326574,0.30177753000326574,4051.6783107189945,3680.6558549300394,18.432252059058076,16.74436400373535,
Scenario 2,all_plots,inc,27.635527105421087,0.9958137216220552,0.9958137216220552,0.8583286787643712,0.6971934965946439,22189965.821347132,7396656.753113433,9526238.559962016,7737865.150417403,24660760.46349285,8689787.266087586,8689787.266087586,6082851086261.311,6082851086261.311,90.65308919939781,101.45099486858132,41567.71429011031,41567.71429011031,0.1457891578315653,0.1457891578315653,0.3225,0.3225,0.2635963859438551,458843.76875374274,750281.2271074987,1.5996805652345731,0.00007786169,1.0654734524964469,1.0654734524964469,0.3017705603708349,0.3017705603708349,4137.474914375883,3697.1040348993743,18.82122726111187,16.817995683077434,
Scenario 2,all_plots,inc,27.645529105821165,0.9958181478608145,0.9958181478608145,0.8582404778099374,0.6970403859141421,21581116.470653206,7193706.928958833,9525259.65368294,7736165.837666211,24455132.420307983,8691525.744904928,8691525.744904928,6084068021433.449,6084068021433.449,88.66743343173023,100.94737226797905,41569.79314356549,41569.79314356549,0.14178835767153397,0.14178835767153397,0.3225,0.3225,0.26226278589051133,426581.3162632503,739527.0741265044,1.5999525884420718,0.00007786169,1.0654350277802067,1.0654350277802067,0.301763590871191,0.301763590871191,4229.4120614409785,3714.9170304072404,19.238078203624166,16.89782487795723,
Scenario 2,all_plots,inc,27.655531106221247,0.995822735901709,0.995822735901709,0.8581522310185626,0.6968872314736069,20972265.114214655,6990756.43622256,9524280.238678424,7734466.039240325,24249502.71414131,8693264.571522057,8693264.571522057,6085285200065.439,6085285200065.439,86.63152436537325,100.4108467767602,41571.87210098673,41571.87210098673,0.13778755751150126,0.13778755751150126,0.3225,0.3225,0.26092918583716707,394318.86377274635,728772.9211455062,1.600224657906668,0.00007786169,1.0653966054653121,1.0653966054653121,0.3017566215043358,0.3017566215043358,4328.070594879112,3734.131971109976,19.68544079442054,16.984019143036058,
Scenario 2,all_plots,inc,27.665533106621325,0.9958274852040147,0.9958274852040147,0.8580639383777262,0.6967340332945594,20363411.444146257,6787805.172276181,9523300.314809509,7732765.755378601,24043871.24246429,8695003.746008573,8695003.746008573,6086502622206.001,6086502622206.001,84.54539161749885,99.84144384018168,41573.951162379235,41573.951162379235,0.13378675735146997,0.13378675735146997,0.3225,0.3225,0.2595955857838233,362056.411282254,718018.768164512,1.600496773636229,0.00007786169,1.065358185551578,1.065358185551578,0.3017496522702659,0.3017496522702659,4434.110454107864,3754.789498215582,20.16630992123605,17.07676195568579,
Scenario 2,all_plots,inc,27.675535107021407,0.9958323952083976,0.9958323952083976,0.8579755998749181,0.6965807913985562,19754555.15351536,6584853.034808797,9522319.881937347,7731064.986320285,23838237.903066427,8696743.268434096,8696743.268434096,6087720287903.867,6087720287903.867,82.40906477131375,99.23918931814664,41576.0303277482,41576.0303277482,0.12978595719143723,0.12978595719143723,0.3225,0.3225,0.2582619857304791,329793.9587917501,707264.6151835138,1.6007689356386248,0.00007786169,1.0653197680388107,1.0653197680388107,0.30174268316898334,0.30174268316898334,4548.284443208652,3776.9339900301043,20.68410193729066,17.176253736032393,
Scenario 2,all_plots,inc,27.685537107421485,0.995837465337035,0.995837465337035,0.85788721549764,0.6964275058071892,19145695.936402865,6381899.921847351,9521338.939923225,7729363.732305018,23632602.594075594,8698483.13886826,8698483.13886826,6088938197207.781,6088938197207.781,80.22257337627775,98.60410948580748,41578.109597098824,41578.109597098824,0.12578515703140594,0.12578515703140594,0.3225,0.3225,0.25692838567713533,297531.5063012577,696510.4622025194,1.6010411439217254,0.00007786169,1.065281352926819,1.065281352926819,0.301735714200485,0.301735714200485,4671.45498834292,3800.6138134664548,21.2427307131428,17.28271298462355,
Scenario 2,all_plots,inc,27.695539107821567,0.9958426949937487,0.9958426949937487,0.8577987852334042,0.6962741765420855,18536833.487960503,6178945.731775733,9520357.48862855,7727661.993572829,23426965.213977113,8700223.357380707,8700223.357380707,6090156350166.495,6090156350166.495,77.98594694832568,97.93623103426921,41580.18897043631,41580.18897043631,0.1217843568713732,0.1217843568713732,0.3225,0.3225,0.25559478562379107,265269.05381075374,685756.3092215214,1.601313398493403,0.00007786169,1.0652429402154138,1.0652429402154138,0.30172874536477334,0.30172874536477334,4804.614669319352,3825.8816043020524,21.84670081723259,17.39637755033154,
Scenario 2,all_plots,inc,27.705541108221645,0.9958480835640867,0.9958480835640867,0.8577103090697344,0.6961208036249074,17927967.504470162,5975990.3633545535,9519375.52791485,7725959.770364141,23221325.661633544,8701963.924041098,8701963.924041098,6091374746828.769,6091374746828.769,75.69921497009277,97.23558107139482,41582.26844776586,41582.26844776586,0.1177835567113419,0.1177835567113419,0.3225,0.3225,0.2542611855704473,233006.6013202614,675002.156240527,1.6015856993615303,0.00007786169,1.065204529904392,1.065204529904392,0.3017217766618467,0.3017217766618467,4948.9115550539,3852.7945793724593,22.501222498512067,17.5175060429175,
